order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,25,1,11.43,11.43
2,1,82,2,306.53,613.06
3,2,79,4,387.61,1550.44
4,2,100,2,490.16,980.32
5,3,72,5,248.62,1243.1
6,3,43,2,290.86,581.72
7,3,25,2,11.43,22.86
8,3,51,1,424.62,424.62
9,3,30,4,174.46,697.84
10,4,79,1,387.61,387.61
11,4,72,1,248.62,248.62
12,5,63,3,273.5,820.5
13,5,75,4,161.12,644.48
14,5,53,2,318.16,636.32
15,6,34,1,352.16,352.16
16,6,33,1,77.58,77.58
17,6,19,3,167.25,501.75
18,6,87,2,442.56,885.12
19,7,48,1,238.21,238.21
20,7,35,3,73.69,221.07
21,7,61,2,185.84,371.68
22,7,25,2,11.43,22.86
23,8,1,4,227.6,910.4
24,8,77,1,127.74,127.74
25,8,58,4,363.89,1455.56
26,8,37,1,332.56,332.56
27,8,37,4,332.56,1330.24
28,9,96,5,48.19,240.95
29,9,33,3,77.58,232.74
30,9,82,5,306.53,1532.65
31,10,40,1,168.04,168.04
32,10,33,1,77.58,77.58
33,10,40,2,168.04,336.08
34,11,83,4,20.8,83.2
35,11,79,5,387.61,1938.05
36,12,69,5,134.97,674.85
37,12,31,4,302.6,1210.4
38,12,9,4,294.38,1177.52
39,13,46,5,68.91,344.55
40,13,97,4,209.48,837.92
41,13,92,2,60.45,120.9
42,14,56,2,38.34,76.68
43,14,1,1,227.6,227.6
44,14,5,3,273.9,821.7
45,14,40,1,168.04,168.04
46,14,76,3,169.43,508.29
47,15,52,1,304.17,304.17
48,15,77,5,127.74,638.7
49,15,14,3,497.78,1493.34
50,15,42,4,421.18,1684.72
51,15,66,2,29.33,58.66
52,16,49,4,143.59,574.36
53,16,69,2,134.97,269.94
54,16,5,1,273.9,273.9
55,16,16,3,208.95,626.85
56,17,76,4,169.43,677.72
57,17,52,3,304.17,912.51
58,17,14,5,497.78,2488.9
59,18,28,2,36.29,72.58
60,18,56,1,38.34,38.34
61,18,31,1,302.6,302.6
62,18,55,3,390.99,1172.97
63,19,60,5,300.86,1504.3
64,19,97,3,209.48,628.44
65,20,28,3,36.29,108.87
66,20,53,3,318.16,954.48
67,20,100,1,490.16,490.16
